name,nameJa,parent,distance,realDistance,radius,realRadius,color,period,inclination
Sun,太陽,,0,0,9,109.2,0xffcc55,0,0
Mercury,水星,Sun,16,0.387,1.1,0.383,0xa89f94,88,7.0
Venus,金星,Sun,23,0.723,1.9,0.949,0xd8b36a,225,3.39
Earth,地球,Sun,32,1.0,2.0,1.0,0x3b82f6,365,0
Moon,月,Earth,5.5,0.00257,0.55,0.273,0xcfcfcf,27.3,5.14
Mars,火星,Sun,43,1.524,1.5,0.532,0xc65a3a,687,1.85
Jupiter,木星,Sun,64,5.203,5.0,11.21,0xd7b68a,4333,1.3
Saturn,土星,Sun,84,9.537,4.3,9.45,0xe4cf9a,10759,2.49
Uranus,天王星,Sun,104,19.191,3.2,4.01,0x8bd7d7,30687,0.77
Neptune,海王星,Sun,123,30.07,3.1,3.88,0x4169e1,60190,1.77
Pluto,冥王星,Sun,145,39.482,0.8,0.186,0xb9a28c,90560,17.2
